flow_id,packet_count,duration,total_bytes,avg_packet_size,inter_packet_times,packet_sizes,directions,tor_relay,relay_nickname,is_guard,is_exit,pcap_file,label
136.243.174.159->172.21.245.0,2,29.976878881454468,108,54.0,29.976878881454468,"54,54","-1,-1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202230.pcap,tor
172.21.245.0->136.243.174.159,2,29.97687602043152,132,66.0,29.97687602043152,"66,66","1,1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202230.pcap,tor
83.217.9.73->172.21.245.0,14,64.94157791137695,2616,186.8571428571429,"6.354732036590576,6.809752941131592,4.657289981842041,3.855868101119995,7.910455942153931,4.349398851394653,7.794748067855835,0.14433002471923828,6.3704071044921875,3.685809850692749,4.567516088485718,1.8670780658721924,6.574190855026245","608,72,72,72,72,72,72,608,72,72,608,72,72,72","-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",83.217.9.73,salsedo,True,True,data/pcap_files/real_capture.pcap,tor
172.21.245.0->83.217.9.73,14,64.74510478973389,6904,493.1428571428572,"6.157250881195068,6.810871124267578,4.653702974319458,3.85224986076355,7.916614055633545,4.350348949432373,7.9392499923706055,0.0518641471862793,6.316187858581543,3.8843979835510254,4.3680260181427,1.867717981338501,6.57662296295166","72,608,608,608,608,608,608,608,72,608,72,608,608,608","1,1,1,1,1,1,1,1,1,1,1,1,1,1",83.217.9.73,salsedo,True,True,data/pcap_files/real_capture.pcap,tor
83.217.9.73->172.21.245.0,14,64.94157791137695,2616,186.8571428571429,"6.354732036590576,6.809752941131592,4.657289981842041,3.855868101119995,7.910455942153931,4.349398851394653,7.794748067855835,0.14433002471923828,6.3704071044921875,3.685809850692749,4.567516088485718,1.8670780658721924,6.574190855026245","608,72,72,72,72,72,72,608,72,72,608,72,72,72","-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1",83.217.9.73,salsedo,True,True,data/pcap_files/sample.pcap,tor
172.21.245.0->83.217.9.73,14,64.74510478973389,6904,493.1428571428572,"6.157250881195068,6.810871124267578,4.653702974319458,3.85224986076355,7.916614055633545,4.350348949432373,7.9392499923706055,0.0518641471862793,6.316187858581543,3.8843979835510254,4.3680260181427,1.867717981338501,6.57662296295166","72,608,608,608,608,608,608,608,72,608,72,608,608,608","1,1,1,1,1,1,1,1,1,1,1,1,1,1",83.217.9.73,salsedo,True,True,data/pcap_files/sample.pcap,tor
136.243.174.159->172.21.245.0,2,30.272146940231323,108,54.0,30.272146940231323,"54,54","-1,-1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202006.pcap,tor
172.21.245.0->136.243.174.159,2,30.27214217185974,132,66.0,30.27214217185974,"66,66","1,1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202006.pcap,tor
136.243.174.159->172.21.245.0,2,30.123706102371216,108,54.0,30.123706102371216,"54,54","-1,-1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202113.pcap,tor
172.21.245.0->136.243.174.159,2,30.123734951019287,132,66.0,30.123734951019287,"66,66","1,1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_202113.pcap,tor
136.243.174.159->172.21.245.0,2,29.84842610359192,108,54.0,29.84842610359192,"54,54","-1,-1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_213501.pcap,tor
172.21.245.0->136.243.174.159,2,29.848397970199585,132,66.0,29.848397970199585,"66,66","1,1",136.243.174.159,MaverickPass,True,False,data/pcap_files/live_20251109_213501.pcap,tor
